"PHH_common_all","PHH_DEG_Steatosis","PHH_SVM_DEGs","PHH_SVM_Steatosis","PRH_common_all","PRH_DEG_Steatosis","PRH_SVM_DEGs","PRH_SVM_Steatosis","RLT_common_all","RLT_DEG_Steatosis","RLT_SVM_DEGs","RLT_SVM_Steatosis"
NA,"ATP5F1B","CNP",NA,NA,NA,NA,NA,NA,NA,"SLC33A1",NA
NA,"APOE","IFI6",NA,NA,NA,NA,NA,NA,NA,"HSPA13",NA
NA,"APOB","SLC40A1",NA,NA,NA,NA,NA,NA,NA,"SEPSECS",NA
NA,"SIRT6","RAB8A",NA,NA,NA,NA,NA,NA,NA,"GPLD1",NA
NA,"SAMM50","NDUFS1",NA,NA,NA,NA,NA,NA,NA,"STK25",NA
NA,"CAT","ABCD1",NA,NA,NA,NA,NA,NA,NA,"TGFBR2",NA
NA,"DGAT2","GOLIM4",NA,NA,NA,NA,NA,NA,NA,"UGT2B10",NA
NA,"ECH1","VIRMA",NA,NA,NA,NA,NA,NA,NA,"FADS2",NA
NA,"IDH2","TPP1",NA,NA,NA,NA,NA,NA,NA,"CEBPA",NA
NA,"SREBF1","AAGAB",NA,NA,NA,NA,NA,NA,NA,"RGS3",NA
NA,"ACOX1","TMEM223",NA,NA,NA,NA,NA,NA,NA,"TP53INP2",NA
NA,"CYP27A1","ALCAM",NA,NA,NA,NA,NA,NA,NA,"NID2",NA
NA,"MTTP","AP3B1",NA,NA,NA,NA,NA,NA,NA,"ENSRNOG00000023828",NA
NA,"ABCA1","NCBP1",NA,NA,NA,NA,NA,NA,NA,"PJA1",NA
NA,"SCARB1","WDCP",NA,NA,NA,NA,NA,NA,NA,"ACOX2",NA
NA,"SIRT3","TMOD1",NA,NA,NA,NA,NA,NA,NA,"SPAG7",NA
NA,"HADHA","PMS2P1",NA,NA,NA,NA,NA,NA,NA,"FAHD1",NA
NA,"GPT","ELOA-AS1",NA,NA,NA,NA,NA,NA,NA,"AKT2",NA
NA,"SHC1","MIGA2",NA,NA,NA,NA,NA,NA,NA,"TSC22D3",NA
NA,"STS","HIKESHI",NA,NA,NA,NA,NA,NA,NA,"PRPSAP1",NA
NA,"CPS1","MBL2",NA,NA,NA,NA,NA,NA,NA,"PCNT",NA
NA,"SERPINF1","NPM1P22",NA,NA,NA,NA,NA,NA,NA,"BANP",NA
NA,"MAT1A","UBAC2",NA,NA,NA,NA,NA,NA,NA,"POLG2",NA
NA,"ABCG8","STAT1",NA,NA,NA,NA,NA,NA,NA,"TNKS2",NA
NA,"AZGP1","ZBED5-AS1",NA,NA,NA,NA,NA,NA,NA,"KHK",NA
NA,"HHEX","PLEKHA4",NA,NA,NA,NA,NA,NA,NA,"ENSRNOG00000057601",NA
NA,"ABCG5","ATG4C",NA,NA,NA,NA,NA,NA,NA,"LSM3",NA
