Array Data File	Suggested_name	Steatogenic	Source Name	Characteristics[organism]	Characteristics[individual]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[genotype]	Characteristics[cohort]	Description	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Comment [ArrayExpress FTP file]	Factor Value[cohort]	Term Source REF	Term Accession Number	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]
003017145017.CEL	TG_rat_vit_Imi_4um_2h_1	No	3017216025	Rattus norvegicus	5120041LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Low - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5061031LRA	5061031LRA:biotin	biotin	P-MTAB-23069	3017145017	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.21.zip	imipramine	ChEMBL	CHEMBL11	imipramine	4	micromolar	2	hour
003017145018.CEL	TG_rat_vit_Imi_4um_2h_2	No	3017216026	Rattus norvegicus	5120042LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Low - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5061032LRA	5061032LRA:biotin	biotin	P-MTAB-23069	3017145018	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.21.zip	imipramine	ChEMBL	CHEMBL11	imipramine	4	micromolar	2	hour
003017145003.CEL	TG_rat_vit_Imi_4um_8h_1	No	3017217003	Rattus norvegicus	5120051LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Low - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5061041LRA	5061041LRA:biotin	biotin	P-MTAB-23069	3017145003	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.21.zip	imipramine	ChEMBL	CHEMBL11	imipramine	4	micromolar	8	hour
003017145004.CEL	TG_rat_vit_Imi_4um_8h_2	No	3017217004	Rattus norvegicus	5120052LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Low - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5061042LRA	5061042LRA:biotin	biotin	P-MTAB-23069	3017145004	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	4	micromolar	8	hour
003017145011.CEL	TG_rat_vit_Imi_4um_24h_1	No	3017217011	Rattus norvegicus	5120061LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Low - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5061051LRA	5061051LRA:biotin	biotin	P-MTAB-23069	3017145011	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	4	micromolar	24	hour
003017145012.CEL	TG_rat_vit_Imi_4um_24h_2	No	3017217012	Rattus norvegicus	5120062LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Low - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5061052LRA	5061052LRA:biotin	biotin	P-MTAB-23069	3017145012	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	4	micromolar	24	hour
003017127016.CEL	TG_rat_vit_Imi_20um_2h_1	No	3017216027	Rattus norvegicus	5120071LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Middle - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5053121LRA	5053121LRA:biotin	biotin	P-MTAB-23069	3017127016	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	20	micromolar	2	hour
003017127017.CEL	TG_rat_vit_Imi_20um_2h_2	No	3017216028	Rattus norvegicus	5120072LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Middle - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5053122LRA	5053122LRA:biotin	biotin	P-MTAB-23069	3017127017	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	20	micromolar	2	hour
003017111001.CEL	TG_rat_vit_Imi_20um_8h_1	No	3017217005	Rattus norvegicus	5120081LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Middle - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5046011LRA	5046011LRA:biotin	biotin	P-MTAB-23069	3017111001	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	20	micromolar	8	hour
003017111002.CEL	TG_rat_vit_Imi_20um_8h_2	No	3017217006	Rattus norvegicus	5120082LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Middle - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5046012LRA	5046012LRA:biotin	biotin	P-MTAB-23069	3017111002	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	20	micromolar	8	hour
003017111009.CEL	TG_rat_vit_Imi_20um_24h_1	No	3017217013	Rattus norvegicus	5120091LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Middle - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5046021LRA	5046021LRA:biotin	biotin	P-MTAB-23069	3017111009	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	20	micromolar	24	hour
003017111010.CEL	TG_rat_vit_Imi_20um_24h_2	No	3017217014	Rattus norvegicus	5120092LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	Middle - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5046022LRA	5046022LRA:biotin	biotin	P-MTAB-23069	3017111010	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	20	micromolar	24	hour
003017531018.CEL	TG_rat_vit_Imi_100um_2h_1	No	3017216029	Rattus norvegicus	5120101LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	High - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5207121LRA	5207121LRA:biotin	biotin	P-MTAB-23069	3017531018	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	100	micromolar	2	hour
003017531019.CEL	TG_rat_vit_Imi_100um_2h_2	No	3017216030	Rattus norvegicus	5120102LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	High - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5207122LRA	5207122LRA:biotin	biotin	P-MTAB-23069	3017531019	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	100	micromolar	2	hour
003017026016.CEL	TG_rat_vit_Imi_100um_8h_1	No	3017217007	Rattus norvegicus	5120111LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	High - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5015011LRA	5015011LRA:biotin	biotin	P-MTAB-23069	3017026016	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	100	micromolar	8	hour
003017026017.CEL	TG_rat_vit_Imi_100um_8h_2	No	3017217008	Rattus norvegicus	5120112LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	High - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5015012LRA	5015012LRA:biotin	biotin	P-MTAB-23069	3017026017	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	100	micromolar	8	hour
003017026024.CEL	TG_rat_vit_Imi_100um_24h_1	No	3017217015	Rattus norvegicus	5120121LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	High - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5015021LRA	5015021LRA:biotin	biotin	P-MTAB-23069	3017026024	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	100	micromolar	24	hour
003017026025.CEL	TG_rat_vit_Imi_100um_24h_2	No	3017217016	Rattus norvegicus	5120122LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	imipramine	High - imipramine	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5015022LRA	5015022LRA:biotin	biotin	P-MTAB-23069	3017026025	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.22.zip	imipramine	ChEMBL	CHEMBL11	imipramine	100	micromolar	24	hour
003017030008.CEL	TG_rat_vit_Tam_Ctl_2h_1	No	3017148020	Rattus norvegicus	5060011LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Control - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5019031LRA	5019031LRA:biotin	biotin	P-MTAB-23069	3017030008	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	none	  	  	2	hour
003017030009.CEL	TG_rat_vit_Tam_Ctl_2h_2	No	3017148021	Rattus norvegicus	5060012LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Control - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5019032LRA	5019032LRA:biotin	biotin	P-MTAB-23069	3017030009	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	none	  	  	2	hour
003017029024.CEL	TG_rat_vit_Tam_Ctl_8h_1	No	3017148028	Rattus norvegicus	5060021LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Control - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5019041LRA	5019041LRA:biotin	biotin	P-MTAB-23069	3017029024	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	none	  	  	8	hour
003017029025.CEL	TG_rat_vit_Tam_Ctl_8h_2	No	3017148029	Rattus norvegicus	5060022LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Control - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5019042LRA	5019042LRA:biotin	biotin	P-MTAB-23069	3017029025	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	none	  	  	8	hour
003017030002.CEL	TG_rat_vit_Tam_Ctl_24h_1	No	3017149006	Rattus norvegicus	5060031LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Control - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5019051LRA	5019051LRA:biotin	biotin	P-MTAB-23069	3017030002	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	none	  	  	24	hour
003017030003.CEL	TG_rat_vit_Tam_Ctl_24h_2	No	3017149007	Rattus norvegicus	5060032LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Control - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5019052LRA	5019052LRA:biotin	biotin	P-MTAB-23069	3017030003	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	none	  	  	24	hour
003017463014.CEL	TG_rat_vit_Tam_120nm_2h_1	Yes	3017148022	Rattus norvegicus	5060041LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Low - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5200031LRA	5200031LRA:biotin	biotin	P-MTAB-23069	3017463014	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	0.12	micromolar	2	hour
003017463015.CEL	TG_rat_vit_Tam_120nm_2h_2	Yes	3017148023	Rattus norvegicus	5060042LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Low - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5200032LRA	5200032LRA:biotin	biotin	P-MTAB-23069	3017463015	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	0.12	micromolar	2	hour
003017462030.CEL	TG_rat_vit_Tam_120nm_8h_1	Yes	3017148030	Rattus norvegicus	5060051LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Low - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5200041LRA	5200041LRA:biotin	biotin	P-MTAB-23069	3017462030	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	0.12	micromolar	8	hour
003017463001.CEL	TG_rat_vit_Tam_120nm_8h_2	Yes	3017149001	Rattus norvegicus	5060052LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Low - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5200042LRA	5200042LRA:biotin	biotin	P-MTAB-23069	3017463001	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	0.12	micromolar	8	hour
003017463008.CEL	TG_rat_vit_Tam_120nm_24h_1	Yes	3017149008	Rattus norvegicus	5060061LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Low - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5200051LRA	5200051LRA:biotin	biotin	P-MTAB-23069	3017463008	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	0.12	micromolar	24	hour
003017463009.CEL	TG_rat_vit_Tam_120nm_24h_2	Yes	3017149009	Rattus norvegicus	5060062LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Low - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5200052LRA	5200052LRA:biotin	biotin	P-MTAB-23069	3017463009	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	0.12	micromolar	24	hour
003017068004.CEL	TG_rat_vit_Tam_600nm_2h_1	Yes	3017148024	Rattus norvegicus	5060071LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Middle - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5033092LRA	5033092LRA:biotin	biotin	P-MTAB-23069	3017068004	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	0.6	micromolar	2	hour
003017069021.CEL	TG_rat_vit_Tam_600nm_2h_2	Yes	3017148025	Rattus norvegicus	5060072LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Middle - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5033091LRA	5033091LRA:biotin	biotin	P-MTAB-23069	3017069021	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	0.6	micromolar	2	hour
003017069007.CEL	TG_rat_vit_Tam_600nm_8h_1	Yes	3017149002	Rattus norvegicus	5060081LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Middle - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5033101LRA	5033101LRA:biotin	biotin	P-MTAB-23069	3017069007	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	0.6	micromolar	8	hour
003017069008.CEL	TG_rat_vit_Tam_600nm_8h_2	Yes	3017149003	Rattus norvegicus	5060082LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Middle - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5033102LRA	5033102LRA:biotin	biotin	P-MTAB-23069	3017069008	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	0.6	micromolar	8	hour
003017069015.CEL	TG_rat_vit_Tam_600nm_24h_1	Yes	3017149010	Rattus norvegicus	5060091LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Middle - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5033111LRA	5033111LRA:biotin	biotin	P-MTAB-23069	3017069015	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	0.6	micromolar	24	hour
003017069016.CEL	TG_rat_vit_Tam_600nm_24h_2	Yes	3017149011	Rattus norvegicus	5060092LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	Middle - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5033112LRA	5033112LRA:biotin	biotin	P-MTAB-23069	3017069016	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	0.6	micromolar	24	hour
003017257012.CEL	TG_rat_vit_Tam_3um_2h_1	Yes	3017148026	Rattus norvegicus	5060101LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	High - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5131031LRA	5131031LRA:biotin	biotin	P-MTAB-23069	3017257012	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	3	micromolar	2	hour
003017257013.CEL	TG_rat_vit_Tam_3um_2h_2	Yes	3017148027	Rattus norvegicus	5060102LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	High - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5131032LRA	5131032LRA:biotin	biotin	P-MTAB-23069	3017257013	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	3	micromolar	2	hour
003017256028.CEL	TG_rat_vit_Tam_3um_8h_1	Yes	3017149004	Rattus norvegicus	5060111LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	High - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5131041LRA	5131041LRA:biotin	biotin	P-MTAB-23069	3017256028	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	3	micromolar	8	hour
003017256029.CEL	TG_rat_vit_Tam_3um_8h_2	Yes	3017149005	Rattus norvegicus	5060112LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	High - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5131042LRA	5131042LRA:biotin	biotin	P-MTAB-23069	3017256029	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	3	micromolar	8	hour
003017257006.CEL	TG_rat_vit_Tam_3um_24h_1	Yes	3017149012	Rattus norvegicus	5060121LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	High - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5131051LRA	5131051LRA:biotin	biotin	P-MTAB-23069	3017257006	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	3	micromolar	24	hour
003017257007.CEL	TG_rat_vit_Tam_3um_24h_2	Yes	3017149013	Rattus norvegicus	5060122LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	tamoxifen	High - tamoxifen	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5131052LRA	5131052LRA:biotin	biotin	P-MTAB-23069	3017257007	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.36.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	3	micromolar	24	hour
