Array Data File	Suggested_name	Steatogenic	Source Name	Characteristics[organism]	Characteristics[individual]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[cohort]	Description	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Comment [ArrayExpress FTP file]	Factor Value[cohort]	Term Source REF	Term Accession Number	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]	Factor Value[organism part]
003017634003.CEL	TG_rat_viv_Ami_600mg_3h_9	Yes	3017634003	Rattus norvegicus	634095	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634095LRA	RNA	P-MTAB-22990	0634095LRA:biotin	biotin	P-MTAB-22991	3017634003	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	600	milligram per kilogram	3	hour	liver
003017634013.CEL	TG_rat_viv_Ami_600mg_3h_10	Yes	3017634013	Rattus norvegicus	634101	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634101LRA	RNA	P-MTAB-22990	0634101LRA:biotin	biotin	P-MTAB-22991	3017634013	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	600	milligram per kilogram	3	hour	liver
003017634014.CEL	TG_rat_viv_Ami_600mg_3h_11	Yes	3017634014	Rattus norvegicus	634103	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634103LRA	RNA	P-MTAB-22990	0634103LRA:biotin	biotin	P-MTAB-22991	3017634014	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	600	milligram per kilogram	3	hour	liver
003017634015.CEL	TG_rat_viv_Ami_600mg_3h_12	Yes	3017634015	Rattus norvegicus	634104	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634104LRA	RNA	P-MTAB-22990	0634104LRA:biotin	biotin	P-MTAB-22991	3017634015	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.6.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	600	milligram per kilogram	3	hour	liver
003017633001.CEL	TG_rat_viv_Ami_Ctl_9h_1	No	3017633001	Rattus norvegicus	634031	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634031LRA	RNA	P-MTAB-22990	0634031LRA:biotin	biotin	P-MTAB-22991	3017633001	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.78.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	9	hour	liver
003017633002.CEL	TG_rat_viv_Ami_Ctl_9h_2	No	3017633002	Rattus norvegicus	634032	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634032LRA	RNA	P-MTAB-22990	0634032LRA:biotin	biotin	P-MTAB-22991	3017633002	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.78.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	9	hour	liver
003017633003.CEL	TG_rat_viv_Ami_Ctl_9h_3	No	3017633003	Rattus norvegicus	634034	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634034LRA	RNA	P-MTAB-22990	0634034LRA:biotin	biotin	P-MTAB-22991	3017633003	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.78.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	9	hour	liver
003017633013.CEL	TG_rat_viv_Ami_Ctl_9h_4	No	3017633013	Rattus norvegicus	634042	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634042LRA	RNA	P-MTAB-22990	0634042LRA:biotin	biotin	P-MTAB-22991	3017633013	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.78.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	9	hour	liver
003017633014.CEL	TG_rat_viv_Ami_Ctl_9h_5	No	3017633014	Rattus norvegicus	634043	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634043LRA	RNA	P-MTAB-22990	0634043LRA:biotin	biotin	P-MTAB-22991	3017633014	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.78.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	9	hour	liver
003017633015.CEL	TG_rat_viv_Ami_Ctl_9h_6	No	3017633015	Rattus norvegicus	634044	Crj:CD(SD)IGS	6	week	adult	male	liver	wild type genotype	amiodarone	amiodarone administered by oral gavage	organism part	P-MTAB-22986	P-MTAB-22987	P-MTAB-22989	0634044LRA	RNA	P-MTAB-22990	0634044LRA:biotin	biotin	P-MTAB-22991	3017633015	array assay	A-AFFY-43	ArrayExpress	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-799/E-MTAB-799.raw.78.zip	amiodarone	ChEMBL	CHEMBL633	none	  	  	9	hour	liver
