Array Data File	Suggested_name	Steatogenic	Source Name	Characteristics[organism]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cohort]	Description	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Comment [ArrayExpress FTP file]	Factor Value[cohort]	Term Source REF	Term Accession Number	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]
003016060015.CEL	TG_hum_vit_TMX_Ctl_8hr_2	No	5222012LRA	Homo sapiens	5222012LRA	adult	female	wild type genotype	liver	hepatocyte	tamoxifen	tamoxifen-Control	cell	P-MTAB-23086	P-MTAB-23087	5222012LRA	P-MTAB-23090	5222012LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016060015	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.47.zip	tamoxifen	ChEMBL	CHEMBL83	none	  	  	8	hour
003016060020.CEL	TG_hum_vit_TMX_Ctl_24hr_1	No	5222021LRA	Homo sapiens	5222021LRA	adult	female	wild type genotype	liver	hepatocyte	tamoxifen	tamoxifen-Control	cell	P-MTAB-23086	P-MTAB-23087	5222021LRA	P-MTAB-23090	5222021LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016060020	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.47.zip	tamoxifen	ChEMBL	CHEMBL83	none	  	  	24	hour
003016060021.CEL	TG_hum_vit_TMX_Ctl_24hr_2	No	5222022LRA	Homo sapiens	5222022LRA	adult	female	wild type genotype	liver	hepatocyte	tamoxifen	tamoxifen-Control	cell	P-MTAB-23086	P-MTAB-23087	5222022LRA	P-MTAB-23090	5222022LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016060021	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.47.zip	tamoxifen	ChEMBL	CHEMBL83	none	  	  	24	hour
003016060016.CEL	TG_hum_vit_TMX_Mid_8hr_1	Yes	5222031LRA	Homo sapiens	5222031LRA	adult	female	wild type genotype	liver	hepatocyte	tamoxifen	tamoxifen-Middle	cell	P-MTAB-23086	P-MTAB-23087	5222031LRA	P-MTAB-23090	5222031LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016060016	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.47.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	5	micromolar	8	hour
003016060017.CEL	TG_hum_vit_TMX_Mid_8hr_2	Yes	5222032LRA	Homo sapiens	5222032LRA	adult	female	wild type genotype	liver	hepatocyte	tamoxifen	tamoxifen-Middle	cell	P-MTAB-23086	P-MTAB-23087	5222032LRA	P-MTAB-23090	5222032LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016060017	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.47.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	5	micromolar	8	hour
003016060022.CEL	TG_hum_vit_TMX_Mid_24hr_1	Yes	5222041LRA	Homo sapiens	5222041LRA	adult	female	wild type genotype	liver	hepatocyte	tamoxifen	tamoxifen-Middle	cell	P-MTAB-23086	P-MTAB-23087	5222041LRA	P-MTAB-23090	5222041LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016060022	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.47.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	5	micromolar	24	hour
003016060023.CEL	TG_hum_vit_TMX_Mid_24hr_2	Yes	5222042LRA	Homo sapiens	5222042LRA	adult	female	wild type genotype	liver	hepatocyte	tamoxifen	tamoxifen-Middle	cell	P-MTAB-23086	P-MTAB-23087	5222042LRA	P-MTAB-23090	5222042LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016060023	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.47.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	5	micromolar	24	hour
003016060018.CEL	TG_hum_vit_TMX_High_8hr_1	Yes	5222051LRA	Homo sapiens	5222051LRA	adult	female	wild type genotype	liver	hepatocyte	tamoxifen	tamoxifen-High	cell	P-MTAB-23086	P-MTAB-23087	5222051LRA	P-MTAB-23090	5222051LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016060018	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.47.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	25	micromolar	8	hour
003016060019.CEL	TG_hum_vit_TMX_High_8hr_2	Yes	5222052LRA	Homo sapiens	5222052LRA	adult	female	wild type genotype	liver	hepatocyte	tamoxifen	tamoxifen-High	cell	P-MTAB-23086	P-MTAB-23087	5222052LRA	P-MTAB-23090	5222052LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016060019	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.47.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	25	micromolar	8	hour
003016060024.CEL	TG_hum_vit_TMX_High_24hr_1	Yes	5222061LRA	Homo sapiens	5222061LRA	adult	female	wild type genotype	liver	hepatocyte	tamoxifen	tamoxifen-High	cell	P-MTAB-23086	P-MTAB-23087	5222061LRA	P-MTAB-23090	5222061LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016060024	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.47.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	25	micromolar	24	hour
003016060025.CEL	TG_hum_vit_TMX_High_24hr_2	Yes	5222062LRA	Homo sapiens	5222062LRA	adult	female	wild type genotype	liver	hepatocyte	tamoxifen	tamoxifen-High	cell	P-MTAB-23086	P-MTAB-23087	5222062LRA	P-MTAB-23090	5222062LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016060025	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.47.zip	tamoxifen	ChEMBL	CHEMBL83	tamoxifen	25	micromolar	24	hour
003016037018.CEL	TG_hum_vit_VPA_Ctl_2hr_1	No	5070011LRA	Homo sapiens	5070011LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Control	cell	P-MTAB-23086	P-MTAB-23087	5070011LRA	P-MTAB-23090	5070011LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016037018	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	valproic acid	ChEMBL	CHEMBL109	none	  	  	2	hour
003016037019.CEL	TG_hum_vit_VPA_Ctl_2hr_2	No	5070012LRA	Homo sapiens	5070012LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Control	cell	P-MTAB-23086	P-MTAB-23087	5070012LRA	P-MTAB-23090	5070012LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016037019	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	valproic acid	ChEMBL	CHEMBL109	none	  	  	2	hour
003016037026.CEL	TG_hum_vit_VPA_Ctl_8hr_1	No	5070021LRA	Homo sapiens	5070021LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Control	cell	P-MTAB-23086	P-MTAB-23087	5070021LRA	P-MTAB-23090	5070021LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016037026	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	valproic acid	ChEMBL	CHEMBL109	none	  	  	8	hour
003016037027.CEL	TG_hum_vit_VPA_Ctl_8hr_2	No	5070022LRA	Homo sapiens	5070022LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Control	cell	P-MTAB-23086	P-MTAB-23087	5070022LRA	P-MTAB-23090	5070022LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016037027	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	valproic acid	ChEMBL	CHEMBL109	none	  	  	8	hour
003016038004.CEL	TG_hum_vit_VPA_Ctl_24hr_1	No	5070031LRA	Homo sapiens	5070031LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Control	cell	P-MTAB-23086	P-MTAB-23087	5070031LRA	P-MTAB-23090	5070031LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016038004	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	valproic acid	ChEMBL	CHEMBL109	none	  	  	24	hour
003016038005.CEL	TG_hum_vit_VPA_Ctl_24hr_2	No	5070032LRA	Homo sapiens	5070032LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Control	cell	P-MTAB-23086	P-MTAB-23087	5070032LRA	P-MTAB-23090	5070032LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016038005	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	valproic acid	ChEMBL	CHEMBL109	none	  	  	24	hour
003016037020.CEL	TG_hum_vit_VPA_Low_2hr_1	Yes	5070041LRA	Homo sapiens	5070041LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Low	cell	P-MTAB-23086	P-MTAB-23087	5070041LRA	P-MTAB-23090	5070041LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016037020	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.2.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	200	micromolar	2	hour
003016037021.CEL	TG_hum_vit_VPA_Low_2hr_2	Yes	5070042LRA	Homo sapiens	5070042LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Low	cell	P-MTAB-23086	P-MTAB-23087	5070042LRA	P-MTAB-23090	5070042LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016037021	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	200	micromolar	2	hour
003016037028.CEL	TG_hum_vit_VPA_Low_8hr_1	Yes	5070051LRA	Homo sapiens	5070051LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Low	cell	P-MTAB-23086	P-MTAB-23087	5070051LRA	P-MTAB-23090	5070051LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016037028	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	200	micromolar	8	hour
003016037029.CEL	TG_hum_vit_VPA_Low_8hr_2	Yes	5070052LRA	Homo sapiens	5070052LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Low	cell	P-MTAB-23086	P-MTAB-23087	5070052LRA	P-MTAB-23090	5070052LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016037029	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	200	micromolar	8	hour
003016038006.CEL	TG_hum_vit_VPA_Low_24hr_1	Yes	5070061LRA	Homo sapiens	5070061LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Low	cell	P-MTAB-23086	P-MTAB-23087	5070061LRA	P-MTAB-23090	5070061LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016038006	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	200	micromolar	24	hour
003016038007.CEL	TG_hum_vit_VPA_Low_24hr_2	Yes	5070062LRA	Homo sapiens	5070062LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Low	cell	P-MTAB-23086	P-MTAB-23087	5070062LRA	P-MTAB-23090	5070062LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016038007	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	200	micromolar	24	hour
003016037022.CEL	TG_hum_vit_VPA_Mid_2hr_1	Yes	5070071LRA	Homo sapiens	5070071LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Middle	cell	P-MTAB-23086	P-MTAB-23087	5070071LRA	P-MTAB-23090	5070071LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016037022	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	1000	micromolar	2	hour
003016037023.CEL	TG_hum_vit_VPA_Mid_2hr_2	Yes	5070072LRA	Homo sapiens	5070072LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Middle	cell	P-MTAB-23086	P-MTAB-23087	5070072LRA	P-MTAB-23090	5070072LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016037023	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	1000	micromolar	2	hour
003016037030.CEL	TG_hum_vit_VPA_Mid_8hr_1	Yes	5070081LRA	Homo sapiens	5070081LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Middle	cell	P-MTAB-23086	P-MTAB-23087	5070081LRA	P-MTAB-23090	5070081LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016037030	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	1000	micromolar	8	hour
003016038001.CEL	TG_hum_vit_VPA_Mid_8hr_2	Yes	5070082LRA	Homo sapiens	5070082LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Middle	cell	P-MTAB-23086	P-MTAB-23087	5070082LRA	P-MTAB-23090	5070082LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016038001	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	1000	micromolar	8	hour
003016038008.CEL	TG_hum_vit_VPA_Mid_24hr_1	Yes	5070091LRA	Homo sapiens	5070091LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Middle	cell	P-MTAB-23086	P-MTAB-23087	5070091LRA	P-MTAB-23090	5070091LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016038008	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	1000	micromolar	24	hour
003016038009.CEL	TG_hum_vit_VPA_Mid_24hr_2	Yes	5070092LRA	Homo sapiens	5070092LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-Middle	cell	P-MTAB-23086	P-MTAB-23087	5070092LRA	P-MTAB-23090	5070092LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016038009	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	1000	micromolar	24	hour
003016037024.CEL	TG_hum_vit_VPA_High_2hr_1	Yes	5070101LRA	Homo sapiens	5070101LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-High	cell	P-MTAB-23086	P-MTAB-23087	5070101LRA	P-MTAB-23090	5070101LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016037024	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	5000	micromolar	2	hour
003016037025.CEL	TG_hum_vit_VPA_High_2hr_2	Yes	5070102LRA	Homo sapiens	5070102LRA	adult	female	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-High	cell	P-MTAB-23086	P-MTAB-23087	5070102LRA	P-MTAB-23090	5070102LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016037025	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	5000	micromolar	2	hour
003016038002.CEL	TG_hum_vit_VPA_High_8hr_1	Yes	5070111LRA	Homo sapiens	5070111LRA	adult	male	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-High	cell	P-MTAB-23086	P-MTAB-23087	5070111LRA	P-MTAB-23090	5070111LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016038002	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	5000	micromolar	8	hour
003016038003.CEL	TG_hum_vit_VPA_High_8hr_2	Yes	5070112LRA	Homo sapiens	5070112LRA	adult	male	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-High	cell	P-MTAB-23086	P-MTAB-23087	5070112LRA	P-MTAB-23090	5070112LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016038003	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	5000	micromolar	8	hour
003016038010.CEL	TG_hum_vit_VPA_High_24hr_1	Yes	5070121LRA	Homo sapiens	5070121LRA	adult	male	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-High	cell	P-MTAB-23086	P-MTAB-23087	5070121LRA	P-MTAB-23090	5070121LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016038010	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	5000	micromolar	24	hour
003016038011.CEL	TG_hum_vit_VPA_High_24hr_2	Yes	5070122LRA	Homo sapiens	5070122LRA	adult	male	wild type genotype	liver	hepatocyte	valproic acid	valproic acid-High	cell	P-MTAB-23086	P-MTAB-23087	5070122LRA	P-MTAB-23090	5070122LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016038011	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.3.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	5000	micromolar	24	hour
