Array Data File	Suggested_name	Steatogenic	Source Name	Characteristics[organism]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cohort]	Description	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Comment [ArrayExpress FTP file]	Factor Value[cohort]	Term Source REF	Term Accession Number	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]
003016028012.CEL	TG_hum_vit_AM_High_8hr_1	Yes	5098111LRA	Homo sapiens	5098111LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-High	cell	P-MTAB-23086	P-MTAB-23087	5098111LRA	P-MTAB-23090	5098111LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028012	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	7	micromolar	8	hour
003016028013.CEL	TG_hum_vit_AM_High_8hr_2	Yes	5098112LRA	Homo sapiens	5098112LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-High	cell	P-MTAB-23086	P-MTAB-23087	5098112LRA	P-MTAB-23090	5098112LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028013	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	7	micromolar	8	hour
003016028020.CEL	TG_hum_vit_AM_High_24hr_1	Yes	5098121LRA	Homo sapiens	5098121LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-High	cell	P-MTAB-23086	P-MTAB-23087	5098121LRA	P-MTAB-23090	5098121LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028020	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	7	micromolar	24	hour
003016028021.CEL	TG_hum_vit_AM_High_24hr_2	Yes	5098122LRA	Homo sapiens	5098122LRA	adult	female	wild type genotype	liver	hepatocyte	amiodarone	amiodarone-High	cell	P-MTAB-23086	P-MTAB-23087	5098122LRA	P-MTAB-23090	5098122LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016028021	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.40.zip	amiodarone	ChEMBL	CHEMBL633	amiodarone	7	micromolar	24	hour
003016018004.CEL	TG_hum_vit_CCL4_Ctl_2hr_1	No	5068011LRA	Homo sapiens	5068011LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Control	cell	P-MTAB-23086	P-MTAB-23087	5068011LRA	P-MTAB-23090	5068011LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018004	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	2	hour
003016018005.CEL	TG_hum_vit_CCL4_Ctl_2hr_2	No	5068012LRA	Homo sapiens	5068012LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Control	cell	P-MTAB-23086	P-MTAB-23087	5068012LRA	P-MTAB-23090	5068012LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018005	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	2	hour
003016018012.CEL	TG_hum_vit_CCL4_Ctl_8hr_1	No	5068021LRA	Homo sapiens	5068021LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Control	cell	P-MTAB-23086	P-MTAB-23087	5068021LRA	P-MTAB-23090	5068021LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018012	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	8	hour
003016018013.CEL	TG_hum_vit_CCL4_Ctl_8hr_2	No	5068022LRA	Homo sapiens	5068022LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Control	cell	P-MTAB-23086	P-MTAB-23087	5068022LRA	P-MTAB-23090	5068022LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018013	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	8	hour
003016018020.CEL	TG_hum_vit_CCL4_Ctl_24hr_1	No	5068031LRA	Homo sapiens	5068031LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Control	cell	P-MTAB-23086	P-MTAB-23087	5068031LRA	P-MTAB-23090	5068031LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018020	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	24	hour
003016018021.CEL	TG_hum_vit_CCL4_Ctl_24hr_2	No	5068032LRA	Homo sapiens	5068032LRA	adult	female	wild type genotype	liver	hepatocyte	carbon tetrachloride	carbon tetrachloride-Control	cell	P-MTAB-23086	P-MTAB-23087	5068032LRA	P-MTAB-23090	5068032LRA	biotin	P-MTAB-23088	P-MTAB-23089	3016018021	array assay	A-AFFY-44	ArrayExpress	P-MTAB-23090	P-MTAB-23091	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-798/E-MTAB-798.raw.29.zip	carbon tetrachloride	ChEMBL	CHEMBL44814	none	  	  	24	hour
